Name,Location,Year,Combustible,Kilometers,Transmission,Power [CV],Price [€],Financed Price,Dealer,Dealer Rating (over 5)
VOLVO XC90 3.2 Summum Geartronic,Barcelona,2007, Gasolina,143.000,Automático,238,15.800,Sin financiación,PARC PAT,"4,0"
SEAT Ateca 1.4 EcoTSI S&S Style,Barcelona,2017, Gasolina,46.900,Manual,150,20.090,Con financiación,"TAES MOTOR, S.A., concesionario oficial Seat","2,5"
AUDI A3 1.6 30 TDI ALL-IN SPORTBACK 116 5P,Murcia,2020, Diésel,10,Manual,116,27.000,Sin financiación,n/a,n/a
AUDI A1 1.0 TFSI ADRENALIN SPORTBACK 95 5P,Murcia,2018, Gasolina,38.315,Manual,95,16.300,Con financiación,n/a,n/a
LAND-ROVER Range Rover Evoque 2.0 P200 R-DYNAMIC SE AUTO 4WD 200 5P,Islas Baleares,2019, Gasolina,27.530,Automático,200,42.950,Sin financiación,n/a,n/a
BMW Serie 1 118D 150 STEPTRONIC m sport,Málaga,2020, Diésel,12.194,Automático,140,29.937,Con financiación,n/a,n/a
SKODA Scala 1.0 TSI 85KW STYLE 5P,Barcelona,2019, Gasolina,27.500,Manual,115,16.400,Con financiación,n/a,n/a
VOLVO XC60 2.0 T6 RECHARGE INSCRIPTION EXP AUTO 340 5P,Palencia,2021, Híbrido,5,Automático,340,44.700,Con financiación,PALAUSA Palencia,"0,0"
VOLVO XC60 D3 Kinetic 150,Valencia,2016, Diésel,91.000,Manual,150,19.400,Con financiación,ORLANDO CARS,"4,5"
AUDI Q8 50 TDI quattro tiptronic,Murcia,2019, Diésel,95.000,Automático,286,61.900,Con financiación,n/a,n/a
RENAULT Captur TCe GPF Zen 96kW,Madrid,2019, Gasolina,96.000,Manual,130,11.561,Con financiación,ALFONSO COPE,"0,0"
SEAT Ateca 1.0 TSI S&S Ecomotive Reference,Madrid,2020, Gasolina,66.000,Manual,115,16.520,Con financiación,ALFONSO COPE,"0,0"
FORD Focus 1.5TDCi Titanium PS 120,Valencia,2017, Diésel,116.172,Automático,120,9.700,Con financiación,n/a,n/a
HYUNDAI i30 1.6CRDi Tecno 116,Barcelona,2019, Diésel,68.886,Manual,116,17.300,Sin financiación,CarNext.com Barcelona,"3,0"
AUDI A4 2.0TDI S line edition 110kW,Pontevedra,2017, Diésel,66.607,Manual,150,21.500,Con financiación,TALLERES HERMINDO,"3,5"
SEAT León 1.6TDI CR S&S Reference Plus 115,Pontevedra,2017, Diésel,121.000,Manual,115,12.990,Con financiación,n/a,n/a
FORD Kuga 2.0TDCI Trend 4WD,Alicante,2011, Diésel,160.589,Manual,140,9.850,Sin financiación,Automoviles Guardamar vehículos Multimarca,"5,0"
VOLKSWAGEN Golf 2.0 TSI GTI DSG,Vizcaya,2011, Gasolina,181.000,Automático,210,3,Sin financiación,n/a,n/a
LEXUS RX 450h Executive,Murcia,2021, Híbrido,1.925,Automático,313,70.900,Con financiación,n/a,n/a
VOLKSWAGEN Polo 1.0 Edition 59kW,Málaga,2019, Gasolina,57.000,Manual,80,12.500,Sin financiación,MARTINSA MOTOR,"4,5"
HYUNDAI i30 1.6CRDi Tecno 116,Barcelona,2019, Diésel,68.886,Manual,116,17.300,Sin financiación,CarNext.com Barcelona,"3,0"
AUDI A4 2.0TDI S line edition 110kW,Pontevedra,2017, Diésel,66.607,Manual,150,21.500,Con financiación,TALLERES HERMINDO,"3,5"
SEAT León 1.6TDI CR S&S Reference Plus 115,Pontevedra,2017, Diésel,121.000,Manual,115,12.990,Con financiación,n/a,n/a
VOLKSWAGEN Golf 2.0 TSI GTI DSG,Vizcaya,2011, Gasolina,181.000,Automático,210,3,Sin financiación,n/a,n/a
FORD Focus 1.5TDCi Titanium PS 120,Valencia,2017, Diésel,116.172,Automático,120,9.700,Con financiación,n/a,n/a
FORD Kuga 2.0TDCI Trend 4WD,Alicante,2011, Diésel,160.589,Manual,140,9.850,Sin financiación,Automoviles Guardamar vehículos Multimarca,"5,0"
LAND-ROVER Range Rover Evoque 2.0 P200 R-DYNAMIC SE AUTO 4WD 200 5P,Islas Baleares,2019, Gasolina,27.530,Automático,200,42.950,Sin financiación,n/a,n/a
BMW Serie 1 118D 150 STEPTRONIC m sport,Málaga,2020, Diésel,12.194,Automático,140,29.937,Con financiación,n/a,n/a
SKODA Scala 1.0 TSI 85KW STYLE 5P,Barcelona,2019, Gasolina,27.500,Manual,115,16.400,Con financiación,n/a,n/a
VOLVO XC60 2.0 T6 RECHARGE INSCRIPTION EXP AUTO 340 5P,Palencia,2021, Híbrido,5,Automático,340,44.700,Con financiación,PALAUSA Palencia,"0,0"
CITROEN C3 1.6BlueHDi S&S Shine 100,Valencia,2018, Diésel,105.539,Manual,99,12.500,Con financiación,n/a,n/a
SAAB 9-5 Aero 2.0T,Valencia,2011, Gasolina,58.000,Manual,220,28.900,Sin financiación,n/a,n/a
BMW Serie 3 320iA,Valencia,2020, Gasolina,12.882,Automático,184,2,Con financiación,n/a,n/a
VOLKSWAGEN Tiguan 2.0TDI Sport DSG 110kW,Barcelona,2018, Diésel,43.500,Automático,150,32.900,Sin financiación,n/a,n/a
PEUGEOT 208 1.2 VTi Active,Barcelona,2014, Gasolina,107.310,Manual,82,8.000,Con financiación,n/a,n/a
VOLKSWAGEN Golf 2.0 TSI GTI Performance DSG7 180kW,Barcelona,2018, Gasolina,71.000,Automático,245,27.500,Con financiación,n/a,n/a
PORSCHE Panamera 4S Diesel Aut.,Málaga,2017, Diésel,37.000,Automático,422,94.900,Sin financiación,n/a,n/a
AUDI A1 Sportback 30 TFSI S line,Valencia,2019, Gasolina,58.818,Manual,116,19.970,Con financiación,n/a,n/a
JEEP Compass 80TH 1.3 GSE 150CV DCT 4X2 5P MY21,Barcelona,2021, Gasolina,40,Automático,150,30.750,Con financiación,VALLESCAR,"4,5"
AUDI A1 ATTRACTION 1.6 TDI 116 CV 3P,Barcelona,2016, Diésel,41.900,Manual,116,12.800,Con financiación,VALLESCAR,"4,5"
PORSCHE Macan Aut.,Madrid,2018, Gasolina,79.000,Automático,252,51.500,Sin financiación,n/a,n/a
VOLVO XC40 T3 R-Design,Málaga,2018, Gasolina,50.964,Manual,156,28.450,Con financiación,n/a,n/a
RENAULT Captur ZEN E-TECH HIBRIDO ENCHUFABLE,Córdoba,2021, Híbrido,0,Automático,160,27.400,Con financiación,AUTOSDECONFIANZA,"4,5"
AUDI A6 Avant 2.0 TFSI S line edition Q. S-T,Barcelona,2017, Gasolina,27.474,Automático,252,36.490,Sin financiación,n/a,n/a
FORD Focus 1.0 Ecoboost Trend+ 125,Madrid,2018, Gasolina,17.900,Manual,124,11.900,Con financiación,n/a,n/a
BMW Serie 3 318 Ci Cabrio,Málaga,2004, Gasolina,241.000,Manual,143,6.000,Sin financiación,n/a,n/a
BMW X5 sDrive 25dA,Madrid,2017, Diésel,128.000,Automático,231,32.900,Sin financiación,GVO MADRID,"3,5"
PEUGEOT 508 2.0BlueHDi S&S GT Line EAT8 160,Madrid,2020, Diésel,20.000,Automático,163,30.990,Sin financiación,n/a,n/a
LAND-ROVER Defender 90 2.5Td5 Pick Up E,Murcia,2006, Diésel,134.840,Manual,122,28.900,Sin financiación,PELLICER MOTOR,"4,0"
MINI Mini Clubman John Cooper Works ALL4,Valencia,2018, Gasolina,59.000,Manual,231,27.900,Con financiación,ORLANDO CARS,"4,5"
PORSCHE Taycan Turbo S,Alicante,2020, Eléctrico,9.900,Automático,761,172.500,Sin financiación,CENTRO PORSCHE ALICANTE,"4,0"
VOLKSWAGEN Golf Variant 1.6TDI CR BMT Business&Navi 110,Cantabria,2016, Diésel,200.000,Manual,110,9.700,Sin financiación,RACER MOTOR.,"3,0"
FIAT 500 1.0 GSE Lounge,Barcelona,2021, Gasolina,4.500,Manual,70,12.700,Con financiación,AUTO 88,"2,5"
SEAT León ST 1.5 TSI S&S FR 150,Castellón,2021, Gasolina,50,Manual,150,24.300,Con financiación,n/a,n/a
CITROEN C5 1.6HDI SX FAP,Lugo,2005, Diésel,330.000,Manual,110,2.300,Sin financiación,AUTODELFIN,"4,0"
AUDI A1 Sportback 1.0 TFSI Adrenalin,Castellón,2018, Gasolina,27.654,Manual,95,16.600,Sin financiación,ESTELLER IMPORT,"4,5"
FORD Kuga STLine X 2.5 Duratec PHEV 165kW Auto,Barcelona,2021, Híbrido,10,Automático,225,32.250,Con financiación,Donnay,"3,5"
PEUGEOT 3008 1.6 BlueHDi Allure 120,Valencia,2015, Diésel,41.160,Manual,121,13.500,Con financiación,n/a,n/a
MINI Countryman Cooper S Aut.,Barcelona,2017, Gasolina,55.900,Automático,192,25.900,Sin financiación,n/a,n/a
FORD Kuga 1.5 EcoB. Auto S&S ST-Line 4x2 150,Barcelona,2018, Gasolina,21.000,Manual,150,20.900,Con financiación,n/a,n/a
TOYOTA Auris hybrid 140H Feel! Edition,Barcelona,2019, Híbrido,25.000,Automático,136,17.500,Con financiación,n/a,n/a
BMW X6 M Competition First Edition 625cv,Madrid,2020, Gasolina,3.000,Automático,625,149.900,Sin financiación,n/a,n/a
PORSCHE Panamera GTS PDK,Madrid,2015, Gasolina,84.000,Automático,440,56.999,Sin financiación,n/a,n/a
LAND-ROVER Range Rover Sport 3.0TDV6 HSE Dynamic Aut.,Madrid,2016, Diésel,160.000,Automático,258,33.999,Sin financiación,n/a,n/a
VOLVO XC40 T3,Ciudad Real,2019, Gasolina,34.127,Manual,156,27.850,Con financiación,"VOLVO VYPSA, Volvo -  Ciudad Real","5,0"
KIA Niro 1.6 HEV Drive,Tarragona,2019, Híbrido,29.000,Automático,141,18.950,Con financiación,EBRE MOBIL,"3,0"
MERCEDES-BENZ Clase B 180 d,Málaga,2020, Diésel,20.000,Automático,116,30.950,Con financiación,n/a,n/a
NISSAN Micra IG-T Acenta 92,Málaga,2021, Gasolina,15.000,Manual,92,14.800,Con financiación,n/a,n/a
MINI Mini Cooper,Barcelona,2020, Gasolina,15.459,Manual,136,29.490,Con financiación,IBERICAR BARCELONA PREMIUM,"3,0"
MINI Mini COOPER S 5 PUERTAS,Barcelona,2019, Gasolina,27.047,Manual,192,29.490,Con financiación,IBERICAR BARCELONA PREMIUM,"3,0"
PORSCHE Macan S Diesel Aut.,Lleida,2014, Diésel,148.000,Automático,258,41.000,Sin financiación,SEGALÀS,"2,5"
NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117,Girona,2018, Gasolina,29.000,Automático,117,15.800,Sin financiación,VILAFANT MOTOR,"3,5"
RENAULT Mégane E-TECH Zen 117kW,Ciudad Real,2020, Híbrido Enchufable,7,Automático,160,26.500,Con financiación,n/a,n/a
RENAULT Talisman 1.5dCi Energy ECO2 Intens 81kW,Sevilla,2017, Diésel,169.852,Manual,110,10.500,Con financiación,DUCOCAR,"4,5"
AUDI A3 Sportback 30 TFSI S Line 85kW,Valencia,2019, Gasolina,21.459,Manual,116,21.900,Con financiación,MOTORSELEC LEVANTE. ES,"4,0"
CHEVROLET Captiva 2.0VCDi LS7,Madrid,2011, Diésel,145.000,Manual,127,10.900,Sin financiación,n/a,n/a
AUDI A4 Avant 2.0TDI CD S line edition Q. 190,Madrid,2014, Diésel,178.000,Manual,190,13.900,Con financiación,AUTODRIVER,"4,5"
FIAT Tipo Sedán 1.4 Lounge Plus,Málaga,2019, Gasolina,80.835,Manual,95,10.950,Con financiación,"ELITE MOTOR AXARQUIA, S.L.","3,5"
SEAT Ateca 1.0 TSI S&S Ecomotive Style,Málaga,2019, Gasolina,66.350,Manual,115,19.500,Con financiación,"ELITE MOTOR AXARQUIA, S.L.","3,5"
TOYOTA RAV-4 150D Executive AWD,Ciudad Real,2016, Diésel,89.000,Manual,150,21.500,Sin financiación,AUTOSOL AUTOMOCIÓN,"4,5"
BMW X2 sDrive 20iA,Valencia,2018, Gasolina,23.062,Automático,192,3,Con financiación,n/a,n/a
MINI One 3P,Murcia,2013, Gasolina,116.040,Manual,n/a,9.400,Sin financiación,PELLICER MOTOR,"4,0"
PEUGEOT 308 1.5BlueHDi S&S Active 130,La Coruña,2021, Diésel,7.500,Manual,130,17.100,Con financiación,n/a,n/a
MAZDA Mazda6 2.2DE Luxury Aut. 175,Barcelona,2013, Diésel,135.000,Automático,175,13.900,Sin financiación,n/a,n/a
FIAT Tipo 1.3 Multijet II Mirror,Valencia,2020, Diésel,11.700,Manual,95,12.998,Con financiación,"MIL AUTOMOVILES , JEEP, FIAT y ALFA  ROMEO","5,0"
SEAT León 1.6TDI CR Reference 90,Madrid,2018, Diésel,99.834,Manual,90,10.270,Con financiación,GAMBOA OCASION,"4,0"
NISSAN Juke 1.0 DIG-T Acenta 4x2 DCT 7 114,Madrid,2021, Gasolina,10.000,Automático,114,21.500,Con financiación,AUTOSAE CENTER,"0,0"
RENAULT Scénic Grand 1.3 TCe GPF Limited 103kW,Madrid,2018, Gasolina,42.500,Manual,140,5,Con financiación,AUTOSAE CENTER,"0,0"
AUDI A1 SPORTBACK ATTRACTION 1.6 TDI 116 CV S LINE 5P,Barcelona,2017, Diésel,78.269,Manual,116,14.800,Con financiación,VALLESCAR,"4,5"
ABARTH 500 595C 1.4 T-JET 145 CV 2P,Barcelona,2018, Gasolina,64.980,Manual,145,14.200,Con financiación,VALLESCAR,"4,5"
PORSCHE Cayenne Diesel Platinum Edition Aut.,Madrid,2014, Diésel,90.000,Automático,245,36.500,Sin financiación,n/a,n/a
VOLVO S90 T8 TWIN INSCRIPTION 4WD AUTO 407 4P,Córdoba,2018, Eléctrico,59.566,Automático,407,43.450,Con financiación,n/a,n/a
LAND-ROVER Range Rover Sport 3.0SDV6 HSE Dynamic 306 Aut.,Vizcaya,2015, Diésel,107.900,Automático,306,38.500,Sin financiación,ALIANTXA KARS,"4,0"
VOLKSWAGEN Golf 2.0TDI CR BMT GTD 184,Madrid,2016, Diésel,95.000,Manual,184,18.900,Sin financiación,GVO MADRID,"3,5"
NISSAN Pulsar 1.2 DIG-T Acenta,Madrid,2016, Gasolina,1.722,Manual,115,12.990,Sin financiación,n/a,n/a
AUDI A3 Sportback 2.0TDI S Line Edition 110kW,Barcelona,2018, Diésel,50.500,Manual,150,24.500,Sin financiación,n/a,n/a
LAND-ROVER Discovery Sport 2.0D TD4 MHEV Standard AWD Auto 163,Madrid,2020, Diésel,14.900,Automático,163,37.900,Con financiación,COCHESQUEMOLAN,"4,0"
MAZDA Mazda2 Es un Black Tech Edition 1.5 de 90 cv,Sta. C. de Tenerife,2019, Gasolina,57.571,Manual,75,11.990,Sin financiación,n/a,n/a
OPEL Corsa 1.2 C Mon,Málaga,2012, Gasolina,126.000,Manual,85,5.600,Sin financiación,WAGEN MUÑOZ,"4,0"
AUDI A6 RS 6 Avant 4.0 TFSI quattro Tiptronic,Madrid,2016, Gasolina,97.000,Automático,560,64.999,Sin financiación,n/a,n/a
VOLKSWAGEN Passat 1.6TDI BMT Bluemotion 88kW,Madrid,2016, Diésel,180.000,Manual,120,15.990,Sin financiación,ROYAL QUALITY CARS,"3,0"
DODGE Challenger R/T VENDIDO!!,Barcelona,2014, Gasolina,300,Automático,360,39.900,Sin financiación,n/a,n/a
AUDI A1 SPORTBACK EPIC EDITION 30 1.0 TFSI 116 CV 5P,Barcelona,2019, Gasolina,69.928,Manual,116,18.100,Con financiación,VALLESCAR,"4,5"
AUDI Q3 S LINE 1.5 35 TFSI 150 CV 5P,Barcelona,2019, Gasolina,72.168,Manual,150,28.900,Con financiación,VALLESCAR,"4,5"
SEAT León 2.0TDI CR S&S FR 184,Madrid,2018, Diésel,63.000,Manual,184,17.900,Con financiación,SF MOTOR PREMIUM MADRID,"4,0"
SEAT Altea 2.0TDI Reference DSG,Granada,2006, Diésel,250.000,Automático,140,4.900,Sin financiación,TASECAR,"0,0"
AUDI A3 Sportback 2.0TDI S Line Edition 110kW,Barcelona,2018, Diésel,50.500,Manual,150,24.500,Sin financiación,n/a,n/a
AUDI A6 RS 6 Avant 4.0 TFSI quattro Tiptronic,Madrid,2016, Gasolina,97.000,Automático,560,64.999,Sin financiación,n/a,n/a
SKODA Fabia 1.4TDI Ambition 55kW,Madrid,2018, Diésel,123.000,Manual,75,10.500,Con financiación,n/a,n/a
TOYOTA Yaris HSD 1.5 Active,Valencia,2016, Híbrido,92.112,Automático,100,10.500,Con financiación,n/a,n/a
VOLKSWAGEN T-Cross 1.0 TSI Advance,León,2020, Gasolina,7.700,Manual,95,8,Con financiación,"TELENAUTO, Audi y Volkswagen","4,0"
RENAULT Kadjar 1.5dCi Energy Life 81kW,Barcelona,2017, Diésel,86.000,Manual,110,10.082,Con financiación,AVCARS,"3,5"
AUDI A6 Avant 2.0TDI S-Tronic 140kW(4.75),Salamanca,2018, Diésel,139.800,Automático,190,23.990,Sin financiación,n/a,n/a
PEUGEOT 308 SW 2.0 BlueHDi Allure 150,Madrid,2016, Diésel,131.000,Manual,150,10.990,Con financiación,n/a,n/a
RENAULT Zoe Intens 50 R135 100kW,Vizcaya,2021, Eléctrico,1,Automático,135,27.900,Con financiación,RENAULT TALLERES GARBI,"3,5"
BMW Serie 3 318d,Cádiz,2016, Diésel,96.000,Manual,150,16.950,Sin financiación,n/a,n/a
BMW Serie 3 330i,Madrid,2001, Gasolina,265.195,Manual,231,7.500,Sin financiación,AUTOS GAITAN,"4,0"
SEAT León SC 1.4 TSI S&S Style 125,Madrid,2016, Gasolina,199.000,Manual,125,9.990,Sin financiación,n/a,n/a
OPEL Astra 1.2T S/S GS Line 130,Burgos,2021, Gasolina,1,Manual,130,16.900,Sin financiación,"MOTOR ARANDA, concesionario oficial Opel","4,0"
OPEL Crossland 1.2 81KW (110CV) GS LINE,Valencia,2021, Gasolina,4,Manual,110,16.580,Con financiación,AUTOMOVILES PALMA S.A.,"5,0"
BMW Serie 4 M4 Coupé Competition,Barcelona,2021, Gasolina,4.150,Automático,510,112.900,Con financiación,DRIVER CARS BCN,"5,0"
MERCEDES-BENZ Clase G 63 AMG 4Matic 9G-Tronic,Barcelona,2021, Gasolina,100,Automático,585,665.900,Sin financiación,DRIVER CARS BCN,"5,0"
BMW X1 sDrive 18d,Valencia,2017, Diésel,60.889,Automático,150,24.890,Con financiación,BMW BERTOLIN,"5,0"
BMW X6 xDrive 40iA,Barcelona,2021, Gasolina,4.150,Automático,333,87.900,Con financiación,DRIVER CARS BCN,"5,0"
BMW X5 xDrive 40iA,Barcelona,2021, Gasolina,4.300,Automático,333,97.800,Con financiación,DRIVER CARS BCN,"5,0"
BMW Serie 3 M3 Competition MxDrive,Barcelona,2021, Gasolina,4.100,Automático,510,108.900,Sin financiación,DRIVER CARS BCN,"5,0"
RENAULT Kadjar 1.5dCi Energy Zen 81kW,La Coruña,2017, Diésel,48.362,Manual,110,16.900,Con financiación,n/a,n/a
SKODA Octavia 1.5 TSI Ambition,Tarragona,2020, Gasolina,30.512,Manual,150,19.200,Sin financiación,n/a,n/a
VOLVO XC90 D5 Momentum AWD 235 Aut. 7 pl. (9.75),Navarra,2020, Diésel,10.000,Automático,235,53.000,Con financiación,NAVARSUECIA AUTOMOVILES Conc. Oficial Volvo,"3,0"
BMW Serie 3 318dA,Madrid,2017, Diésel,63.973,Automático,150,23.600,Sin financiación,CarNext.com Madrid,"3,5"
BMW Serie 1 M135iA xDrive (9.75),Barcelona,2021, Gasolina,4.500,Automático,306,53.900,Con financiación,DRIVER CARS BCN,"5,0"
OPEL Astra 1.4T S/S Selective 125,Madrid,2016, Gasolina,105.700,Manual,125,9.999,Con financiación,n/a,n/a
SEAT León 1.6TDI CR S&S Style DSG7 110,Vizcaya,2016, Diésel,89.000,Automático,110,12.420,Con financiación,100% AUTO,"4,5"
AUDI Q8 RS TFSI quattro tiptronic ABT Power S,Barcelona,2021, Gasolina,10,Automático,740,290.900,Con financiación,DRIVER CARS BCN,"5,0"
OPEL Crossland 1.2 81KW (110CV) GS LINE,Valencia,2021, Gasolina,6,Manual,110,17.950,Con financiación,AUTOMOVILES PALMA S.A.,"5,0"
SKODA Scala 1.6 TDI Ambition 85kW,Pontevedra,2019, Diésel,8.500,Manual,115,15.890,Con financiación,n/a,n/a
NISSAN Juke 1.0 DIG-T Acenta 4x2 114,Guipúzcoa,2021, Gasolina,3.466,Manual,114,18.300,Con financiación,GAURSA,"4,0"
OPEL Mokka 1.2 T 74KW (100 CV) BUSINESS ELEGANCE,Valencia,2021, Gasolina,12,Manual,100,20.350,Con financiación,AUTOMOVILES PALMA S.A.,"5,0"
AUDI A7 Sportback 3.0TDI quattro S-Tronic 204,Madrid,2013, Diésel,119.000,Automático,204,28.000,Con financiación,GESTION DIRECTA DE VEHICULOS,"4,5"
AUDI A4 30 TDI Advanced S tronic 100kW,La Coruña,2020, Diésel,14.780,Automático,136,30.400,Con financiación,n/a,n/a
VOLKSWAGEN Scirocco 2.0TDI BMT R-Line 135kW,Barcelona,2016, Diésel,160.000,Manual,184,15.490,Con financiación,GESTIONCAR Reus,"3,0"
PORSCHE Macan Aut.,Madrid,2019, Gasolina,32.000,Automático,245,59.990,Sin financiación,DIMASU MOTOR.,"3,0"
JEEP Renegade 1.3 PHEV 140KW LIMITED AUTO 4WD 190 5P,Madrid,2021, Gasolina,1,Automático,190,30.000,Con financiación,n/a,n/a
BMW Serie 4 420d Gran Coupé,Barcelona,2017, Diésel,55.781,Manual,190,29.000,Con financiación,n/a,n/a
OPEL Insignia ST 1.5D DVH S&S Business Edition 122,Málaga,2021, Diésel,5,Manual,122,21.900,Con financiación,n/a,n/a
TOYOTA Yaris 100H 1.5 Active,Madrid,2017, Híbrido,111.000,Automático,100,10.500,Con financiación,n/a,n/a
BMW X6 xDrive M50dA,Alicante,2017, Diésel,39.000,Automático,381,56.000,Sin financiación,n/a,n/a
AUDI A1 Sportback 1.0 TFSI Adrenalin,Córdoba,2018, Gasolina,27.255,Manual,95,17.200,Con financiación,n/a,n/a
AUDI A6 Allroad Q. 3.0BiTDI Advanced ed. Tip. 235kW,Valladolid,2018, Diésel,70.598,Automático,320,34.590,Con financiación,n/a,n/a
NISSAN Juke 1.0 DIG-T Acenta 4x2 114,Guipúzcoa,2021, Gasolina,3.466,Manual,114,18.300,Con financiación,GAURSA,"4,0"
OPEL Mokka 1.2 T 74KW (100 CV) BUSINESS ELEGANCE,Valencia,2021, Gasolina,12,Manual,100,20.350,Con financiación,AUTOMOVILES PALMA S.A.,"5,0"
AUDI A7 Sportback 3.0TDI quattro S-Tronic 204,Madrid,2013, Diésel,119.000,Automático,204,28.000,Con financiación,GESTION DIRECTA DE VEHICULOS,"4,5"
PORSCHE Macan Aut.,Madrid,2019, Gasolina,32.000,Automático,245,59.990,Sin financiación,DIMASU MOTOR.,"3,0"
JEEP Renegade 1.3 PHEV 140KW LIMITED AUTO 4WD 190 5P,Madrid,2021, Gasolina,1,Automático,190,30.000,Con financiación,n/a,n/a
BMW Serie 4 420d Gran Coupé,Barcelona,2017, Diésel,55.781,Manual,190,29.000,Con financiación,n/a,n/a
AUDI A4 30 TDI Advanced S tronic 100kW,La Coruña,2020, Diésel,14.780,Automático,136,30.400,Con financiación,n/a,n/a
VOLKSWAGEN Scirocco 2.0TDI BMT R-Line 135kW,Barcelona,2016, Diésel,160.000,Manual,184,15.490,Con financiación,GESTIONCAR Reus,"3,0"
OPEL Insignia ST 1.5D DVH S&S Business Edition 122,Málaga,2021, Diésel,5,Manual,122,21.900,Con financiación,n/a,n/a
BMW X6 xDrive M50dA,Alicante,2017, Diésel,39.000,Automático,381,56.000,Sin financiación,n/a,n/a
MERCEDES-BENZ Clase C 220CDI BE Avantgarde Aut.,Valencia,2017, Diésel,112.196,Automático,170,28.295,Sin financiación,n/a,n/a
BMW Serie 2 220iA Cabrio,Málaga,2017, Gasolina,11.000,Automático,184,32.999,Sin financiación,n/a,n/a
LAND-ROVER Range Rover Evoque 2.0 P200 R-DYNAMIC SE AUTO 4WD 200 5P,Málaga,2019, Gasolina,27.530,Automático,200,42.950,Sin financiación,n/a,n/a
OPEL Insignia 2.8 V6 Turbo OPC,Asturias,2012, Gasolina,114.000,Manual,325,15.990,Sin financiación,n/a,n/a
CITROEN C3 Aircross BlueHDi S&S Shine 100,Barcelona,2019, Diésel,15.000,Manual,100,15.950,Con financiación,n/a,n/a
